HP:0000002|Abnormality of body height|身高异常|偏离年龄和性别标准的身高正常值范围。
HP:0032816|Neonatal multifocal myoclonic seizure|新生儿多灶性肌阵挛发作|新生儿多灶性肌阵挛发作是一种新生儿电临床运动性发作，其主要运动特征为突然、短暂（<100毫秒）的不自主单一或多处肌肉或肌群收缩，涉及不同解剖部位（轴性、近端肢体、远端），并在多个部位发生。
HP:0032817|Neonatal focal myoclonic seizure|新生儿局灶性肌阵挛发作|新生儿局灶性肌阵挛发作是一种新生儿电临床运动性发作，其主要运动特征为突然、短暂（<100毫秒）的不自主单次或多次肌肉或肌群收缩，涉及不同解剖部位（轴性、近端肢体、远端），且呈局灶性发生。
HP:0032818|Neonatal focal clonic seizure|新生儿局灶性阵挛性发作|新生儿局灶性阵挛性发作是一种新生儿电临床阵挛性发作，其主要运动特征为单侧规律性重复性抽搐，涉及相同肌群。
HP:0032819|Neonatal bilateral clonic seizure|新生儿双侧阵挛性发作|新生儿双侧阵挛性发作是一种新生儿电临床阵挛性发作，其阵挛性抽搐为双侧性。
HP:0032820|Neonatal multifocal clonic seizure|新生儿多灶性阵挛性癫痫发作|新生儿局灶性阵挛性发作是一种新生儿电临床阵挛性发作，其主要运动特征为涉及相同肌群的规律性重复抽动，且发生于多个部位。
HP:0032821|Neonatal electro-clinical tonic seizure|新生儿电临床强直性发作|新生儿电临床强直性发作是一种新生儿电临床运动性发作，其主要运动特征为肌肉张力持续增加，通常为局灶性，可为单侧或双侧，持续时间从数秒至数分钟不等。
HP:0032822|Neonatal electro-clinical autonomic seizure|新生儿电临床自主神经性发作|新生儿电临床非运动性自主神经性发作是一种以自主神经功能改变为主要特征的新生儿电临床发作，涉及心血管、瞳孔、胃肠道、泌汗、血管运动和体温调节功能。可表现为呼吸暂停。
HP:0032823|Neonatal electro-clinical seizure with behavior arrest|新生儿电临床发作伴行为停止|新生儿电临床非运动性发作伴行为停止是一种新生儿电临床发作类型，其特征为活动停止、僵直、不动，伴或不伴呼吸暂停和/或其他自主神经表现。
HP:0032824|Neonatal focal tonic seizure|新生儿局灶性强直性发作|新生儿局灶性强直性发作是一种新生儿电临床强直性发作，表现为局灶性持续性肌张力增高，持续数秒至数分钟。
HP:0032825|Neonatal electro-clinical sequential seizure|新生儿电临床连续性癫痫发作|新生儿电临床序列运动性发作是一种新生儿电临床发作类型，其主要特征因发作时呈现多种临床和电图表现而难以检测，且常在发作期间或发作之间出现侧向性变化。
HP:0032826|Focal neonatal sequential seizure|局灶性新生儿连续性癫痫发作|局灶性新生儿电临床顺序运动性发作是一种新生儿电临床发作类型，其主要特征因发作时呈现多种临床和电图局灶性体征而难以检测，且常在发作内或发作间期出现侧向性变化。
HP:0032827|Multifocal neonatal sequential seizure|多灶性新生儿连续性癫痫发作|多灶性新生儿电临床连续性运动性发作是一种新生儿电临床发作类型，由于发作表现为多种临床和电生理多灶性体征，因此无法检测到其主要特征。
HP:0032828|Neonatal bilateral symmetric tonic seizure|新生儿双侧对称性强直性发作|新生儿双侧对称性强直性发作是一种新生儿电临床强直性发作，其特征为身体两侧对称性地出现持续数秒至数分钟的肌张力增高。
HP:0032829|Neonatal electro-clinical motor seizure with automatism|新生儿电临床运动性发作伴自动症|新生儿电临床运动性发作伴自动症是一种新生儿电临床发作，其电生理事件与协调性运动活动相关，通常为口腔运动，常伴有意识障碍，并伴随其他特征。
HP:0032830|Neonatal seizure with bilateral asymmetric automatism|新生儿双侧不对称自动症性癫痫发作|新生儿双侧不对称自动症性癫痫发作是一种新生儿电临床性癫痫发作类型，其脑电图事件与协调性运动活动相关，通常为口部运动，常伴有意识障碍，且发生于身体两侧但不对称。
HP:0032831|Neonatal bilateral asymmetric tonic seizure|新生儿双侧不对称强直性发作|新生儿双侧不对称强直性发作是一种新生儿电临床强直性发作，其特征为身体两侧肌肉张力持续增加，持续数秒至数分钟，但呈不对称性。
HP:0032832|Neonatal bilateral asymmetric myoclonic seizure|新生儿双侧不对称性肌阵挛发作|新生儿双侧不对称性肌阵挛发作是一种新生儿电临床运动性发作，其主要运动特征为身体两侧不对称地突然、短暂（<100毫秒）地发生不自主的单次或多次肌肉或肌群收缩，涉及不同部位（轴性、近端肢体、远端）。
HP:0032833|Neonatal epileptic spasm|新生儿癫痫性痉挛|一种突然的屈曲、伸展或混合性伸展-屈曲运动，主要涉及近端和躯干肌肉，通常比肌阵挛运动持续时间更长，但不及强直性发作的持续时间。可能出现局限性形式：如面部扭曲、点头或细微的眼球运动。可能以簇集形式发生。
HP:0032834|Neonatal seizure with unilateral automatism|新生儿单侧自动症性癫痫发作|新生儿双侧不对称自动症性癫痫发作是一种新生儿电临床发作类型，其中电生理事件与协调的运动活动相关，通常为口腔运动，通常伴有意识障碍，发生于身体的一侧。
HP:0032835|Neonatal seizure with bilateral symmetric automatism|新生儿双侧对称性自动症发作|新生儿双侧不对称自动症性癫痫发作是一种新生儿电临床发作类型，其中脑电图事件与协调的运动活动相关，通常为口腔运动，通常伴有意识障碍，且发生在身体两侧对称性部位。
HP:0032836|Neonatal bilateral symmetric myoclonic seizure|新生儿双侧对称性肌阵挛发作|新生儿双侧对称性肌阵挛发作是一种新生儿电临床运动性发作，其主要运动特征为身体两侧对称性出现的突然、短暂（<100毫秒）的单一或多次肌肉或肌群不自主收缩，涉及不同解剖部位（轴性、近端肢体、远端）。
HP:0032837|Bilateral asymmetric neonatal sequential seizure|双侧不对称性新生儿连续性癫痫发作|不对称性新生儿电临床顺序运动性发作是一种新生儿电临床发作类型，其主要特征由于发作呈现不对称性且伴随多种临床和电图表现而难以检测，通常在发作期间或发作之间出现侧向性变化。
HP:0032838|Neonatal unilateral epileptic spasm|新生儿单侧癫痫性痉挛|新生儿单侧癫痫性痉挛是一种主要累及近端和躯干肌肉的突发性屈曲、伸展或屈伸混合运动，发生于身体一侧。
HP:0032839|Bilateral symmetric neonatal sequential seizure|双侧对称性新生儿连续性癫痫发作|对称性新生儿电临床连续性运动性发作是一种新生儿电临床发作类型，由于发作呈现对称性但伴随多种临床和电生理学征象，其主要特征无法被明确识别。
HP:0032840|Neonatal bilateral symmetric epileptic spasm|新生儿双侧对称性癫痫性痉挛|新生儿双侧对称性癫痫性痉挛是一种突然发生的、主要累及近端和躯干肌肉的屈曲、伸展或混合性屈曲-伸展运动，且呈双侧对称性发作。
HP:0032841|Neonatal bilateral asymmetric epileptic spasm|新生儿双侧不对称性癫痫性痉挛|新生儿双侧不对称性癫痫性痉挛是一种以近端和躯干肌肉为主的突然屈曲、伸展或混合性屈曲-伸展运动，在身体两侧不对称地发生。
HP:0032842|Generalized-onset epileptic spasm|全面性发作性癫痫性痉挛|一种全面性发作的癫痫性痉挛。
HP:0032843|Focal-onset epileptic spasm|局灶性起始癫痫性痉挛|局灶性起源的癫痫性痉挛。
HP:0032844|Focal impaired awareness epileptic spasm|局灶性意识障碍性癫痫性痉挛|一种局灶性起源的癫痫性痉挛，在发作过程中某一时刻意识受损。
HP:0032845|Focal aware epileptic spasm|局灶性意识性癫痫性痉挛|一种局灶性癫痫性痉挛，发作期间意识保持完整。
HP:0032846|Focal motor seizure with negative myoclonus|局灶性运动性发作伴负性肌阵挛|一种局灶性运动性癫痫发作类型，其特征为正常肌张力活动突然中断，持续时间不超过500毫秒，且无先期肌阵挛作为初始症状学表现。这种肌张力中断较局灶性失张力发作更为短暂。
HP:0032847|Focal impaired awareness hemifacial clonic seizure|局灶性意识受损性半侧面部阵挛性发作|以累及半侧面部的阵挛性运动为起始的局灶性癫痫发作，伴意识障碍，即发作过程中某一时刻出现意识受损。
HP:0032848|Focal aware cognitive seizure with neglect|局灶性认知性发作伴忽视|局灶性认知性癫痫发作伴忽视，特征为发作期间意识保留。
HP:0032849|Aphasic status epilepticus|失语性癫痫持续状态|失语性癫痫持续状态是一种局灶性非惊厥性癫痫持续状态，其特征为认知性（而非运动性）语言功能障碍，且不伴有昏迷。
HP:0032850|Focal aware cognitive seizure with expressive dysphasia/aphasia|局灶性认知性发作伴表达性失语/失语症|局灶性认知性癫痫发作伴表达性失语/失语症，特征为发作期间意识保留。
HP:0032851|Focal aware sensory seizure with visual features|局灶性意识清醒性感觉性癫痫发作伴视觉特征|以基本视觉幻觉为特征的癫痫发作，如闪光或闪烁的光/颜色，或其他形状、简单图案、暗点或黑蒙。
HP:0032852|Focal impaired awareness cognitive seizure with conduction dysphasia/aphasia|局灶性意识受损认知性发作伴传导性失语/失语症|局灶性认知性癫痫发作伴传导性失语/失语症，特征为发作期间某一时刻出现意识障碍。
HP:0032853|Focal impaired awareness sensory seizure with hot-cold sensations|局灶性意识受损感觉性发作伴冷热感|局灶性感觉性癫痫发作伴冷热感，发作期间意识部分或完全受损。
HP:0032854|Focal aware hemifacial clonic seizure|局灶性意识保留性半侧面部阵挛性发作|以累及半侧面部的阵挛性运动为起始特征的部分性发作，发作期间意识保留。
HP:0032855|Photosensitive myoclonic-tonic-clonic seizure|光敏性肌阵挛-强直-阵挛性癫痫发作|由闪烁或闪光诱发的全身性肌阵挛-强直-阵挛性发作。
HP:0032856|Focal aware bilateral motor seizure|局灶性意识清醒双侧运动性癫痫发作|一种局灶性双侧运动性癫痫发作，发作期间意识完全保留。
HP:0032857|Focal aware motor seizure with negative myoclonus|局灶性意识保留性运动性发作伴负性肌阵挛|一种局灶性运动性癫痫发作，伴有负性肌阵挛，特征为发作期间意识保留。
HP:0032858|Focal impaired awareness motor seizure with negative myoclonus|局灶性意识障碍运动性发作伴负性肌阵挛|一种局灶性运动性癫痫发作，伴有负性肌阵挛，特征为在发作过程中某一时刻出现意识障碍。
HP:0032859|Focal impaired awareness motor seizure with paresis/paralysis|局灶性意识受损运动性发作伴轻瘫/瘫痪|局灶性运动性发作伴轻瘫/瘫痪，特征为发作期间某一时刻出现意识障碍。
HP:0032860|Generalized non-convulsive status epilepticus without coma|广泛性非惊厥性癫痫持续状态无昏迷|广泛性非惊厥性癫痫持续状态无昏迷是一种无明显运动体征的癫痫持续状态，其脑电图表现为广泛性异常。这是一种延长的失神发作。
HP:0032861|Focal non-convulsive status epilepticus with impairment of consciousness|局灶性非惊厥性癫痫持续状态伴意识障碍|局灶性非惊厥性癫痫持续状态伴意识障碍是一种局灶性非惊厥性癫痫持续状态，其特征为意识受损。
HP:0032862|Status epilepticus with ictal paresis|癫痫持续状态伴发作性瘫痪|一种局灶性运动性癫痫持续状态，其特征为长时间的发作性轻瘫或抑制性运动性癫痫发作。
HP:0032863|Typical absence status epilepticus|典型失神持续状态|典型失神持续状态是一种广义非惊厥性持续状态，无昏迷，从症状学上表现为延长的典型失神发作。
HP:0032864|Focal aware sensory seizure with auditory features|局灶性意识清醒性感觉性癫痫发作伴听觉特征|一种具有听觉特征的局灶性感觉性癫痫发作，发作期间意识始终保留。
HP:0032865|Myoclonic absence status epilepticus|肌阵挛失神癫痫持续状态|肌阵挛失神持续状态是一种广义非惊厥性持续状态癫痫，不伴有昏迷，从症状学上看是延长的肌阵挛失神发作。肌阵挛失神持续状态表现为近端、主要以上肢肌阵挛性抽动，与脑电图中的3 Hz棘慢波放电相对应。
HP:0032866|Oculoclonic status epilepticus|眼阵挛性癫痫持续状态|一种局灶性运动性癫痫持续状态，其特征为重复且快速的扫视运动，并伴有癫痫样放电。
HP:0032867|Refractory status epilepticus|难治性癫痫持续状态|难治性癫痫持续状态定义为尽管使用了两种适当选择和剂量的抗癫痫药物（包括苯二氮卓类药物），癫痫持续状态仍持续存在。
HP:0032868|Super-refractory status epilepticus|超难治性癫痫持续状态|超难治性癫痫持续状态定义为在启动麻醉药物治疗后，难治性癫痫持续状态持续24小时或更长时间，包括在诱导麻醉药物后癫痫得到控制但在逐渐减少麻醉药物剂量时癫痫复发的情况。
HP:0032869|Focal non-convulsive status epilepticus without impairment of consciousness|局灶性非惊厥性癫痫持续状态，无意识障碍|局灶性非惊厥性癫痫持续状态无意识障碍是一种局灶性非惊厥性癫痫持续状态，其意识保持完整。
HP:0032870|Focal impaired awareness cognitive seizure with dyslexia/alexia|局灶性意识受损认知性发作伴阅读障碍/失读症|局灶性认知性癫痫发作伴阅读障碍/失读症，特征为发作期间出现意识障碍。
HP:0032871|Focal aware cognitive seizure with hallucination|局灶性意识保留性认知性发作伴幻觉|一种局灶性认知性癫痫发作，伴有幻觉，特征为发作期间意识保留。
HP:0032872|Focal impaired awareness cognitive seizure with illusion|局灶性意识受损认知性发作伴错觉|局灶性认知性癫痫发作伴错觉，特征为发作期间某时刻出现意识障碍。
HP:0032873|Focal aware sensory seizure with cephalic sensation|局灶性意识清醒感觉性发作伴头部感觉异常|以头部感觉异常为特征的癫痫发作，如头晕或头痛。
HP:0032874|Focal impaired awareness cognitive seizure with auditory agnosia|局灶性意识受损认知性发作伴听觉失认症|局灶性认知性癫痫发作伴听觉失认，特征为在发作过程中某一时刻出现意识障碍。
HP:0032875|obsolete Focal impaired awareness cognitive seizure with impaired responsiveness|过时的局灶性意识受损认知性发作伴反应性受损|-
HP:0032876|Focal aware cognitive seizure with conduction dysphasia/aphasia|局灶性认知性发作伴传导性失语/失语症|局灶性认知性癫痫发作伴传导性失语/失语症，其特征为发作期间意识保留。
HP:0032877|Focal aware sensory seizure with hot-cold sensations|局灶性意识清醒感觉性发作伴冷热感|以先热后冷感觉为特征的癫痫发作。
HP:0032878|Focal impaired awareness sensory seizure with cephalic sensation|局灶性意识受损感觉性发作伴头部感觉|一种伴有头部感觉的局灶性感觉性癫痫发作，在发作过程中意识部分或完全受损。
HP:0032879|Focal impaired awareness seizure with dissociation at onset|局灶性意识受损性发作伴起始期解离|局灶性认知性癫痫发作，发作初期伴有分离现象，发作过程中某一时刻出现意识障碍。
HP:0032880|Focal impaired awareness sensory seizure with auditory features|局灶性意识受损感觉性发作伴听觉特征|伴有听觉特征的局灶性感觉性发作，在发作过程中意识部分或完全受损。
HP:0032881|obsolete Focal aware cognitive seizure with impaired responsiveness|过时的术语：局灶性认知性发作伴反应性受损|-
HP:0032882|Focal impaired awareness cognitive seizure with deja vu/jamais vu|局灶性意识受损认知性发作伴似曾相识感/陌生感|局灶性认知性癫痫发作，伴有似曾相识感/陌生感，特征为发作期间某时刻出现意识障碍。
HP:0032883|Focal aware cognitive seizure with deja vu/jamais vu|局灶性意识清楚认知性发作伴似曾相识感/陌生感|局灶性认知性癫痫发作，表现为似曾相识感/陌生感，且在整个发作过程中意识保留。
HP:0032884|Focal aware sensory seizure with somatosensory features|局灶性意识清醒性感觉性发作伴躯体感觉特征|以感觉现象为特征的癫痫发作，包括刺痛感、麻木感、电击样感觉、疼痛感、运动感或运动欲望。发作期间意识保留。
HP:0032885|Focal impaired awareness cognitive seizure with hallucination|局灶性意识受损认知性发作伴幻觉|一种伴有幻觉的局灶性认知性癫痫发作，其特征为在发作过程中某一时刻出现意识障碍。
HP:0032886|Focal impaired awareness cognitive seizure with expressive dysphasia/aphasia|局灶性意识受损认知性发作伴表达性失语/失语症|局灶性认知性癫痫发作伴表达性失语/失语症，特征为发作期间某一时刻出现意识障碍。
HP:0032887|Generalized atonic seizure|全面性失张力发作|全面性失张力发作是一种全面性运动性发作，其特征为突然发生的肌张力丧失或减弱，无明显先兆性肌阵挛或强直事件，持续时间约1-2秒，累及头部、躯干、下颌或肢体肌肉群。
HP:0032888|Focal impaired awareness cognitive seizure with forced thinking|局灶性意识受损认知性发作伴强迫思维|局灶性认知性癫痫发作伴强迫思维，发作期间某时刻出现意识障碍。
HP:0032889|Focal aware sensory seizure with gustatory features|局灶性意识清醒性感觉性发作伴味觉特征|以味觉现象为特征的癫痫发作，包括酸味、苦味、咸味、甜味或金属味。
HP:0032890|Focal impaired awareness sensory seizure with somatosensory features|局灶性意识受损感觉性发作伴躯体感觉特征|局灶性感觉性癫痫发作伴躯体感觉特征，在发作过程中意识部分或完全受损。
HP:0032891|Focal aware motor seizure with version|局灶性意识保留性运动性发作伴扭转|一种局灶性运动性癫痫发作，伴有头眼偏转，特征为在整个发作过程中意识保留。
HP:0032892|Infection-related seizure|感染相关性癫痫发作|与推测或证实的感染（不包括中枢神经系统感染）或炎症状态相关的癫痫发作，且无其他诱因如代谢紊乱，无论是否存在发热。
HP:0032893|Gastroenteritis-related afebrile seizure|胃肠炎相关性无热惊厥|无发热（体温低于38.0摄氏度）、短暂且全身性发作的惊厥，伴随胃肠炎，且无其他明确病因。
HP:0032894|Seizure precipitated by febrile infection|发热感染诱发的癫痫发作|发热性惊厥（Febrile Seizure）：在发热期间（体温达到或超过38.0摄氏度）发生的任何形式的惊厥，无中枢神经系统感染，且无其他明确病因（如严重代谢紊乱），可发生于任何年龄。
HP:0032895|Febrile seizure outside the age of 3 months to 6 years|3个月至6岁年龄范围外的热性惊厥|任何类型的癫痫发作（最常见为全身强直-阵挛性发作）伴随发热（至少38.0摄氏度）发生，但在无中枢神经系统感染、严重代谢紊乱或其他诱发因素的情况下，且患者年龄超出典型的3个月至6岁范围，且无既往无热性癫痫发作史。
HP:0032896|Music-induced seizure|音乐诱发性癫痫发作|音乐或其他复杂声音诱发的癫痫发作。
HP:0032897|Focal impaired awareness sensory seizure with gustatory features|局灶性意识受损感觉性发作伴味觉特征|一种具有味觉特征的局灶性感觉性癫痫发作，在发作过程中意识部分或完全受损。
HP:0032898|Focal automatism seizure|局灶性自动症发作|一种以协调性运动活动为起始特征的局灶性癫痫发作。这种运动活动通常类似于自主运动，可能表现为发作前运动活动的不适当延续。
HP:0032899|Focal orofacial automatism seizure|局灶性口面部自动症发作|一种以口面部自动症为起始特征的局灶性自动症发作类型。
HP:0032900|Focal manual automatism seizure|局灶性手动自动症发作|一种以起始期手部自动症为特征的局灶性自动症发作类型。
HP:0032901|Focal pedal automatism seizure|局灶性足部自动症发作|一种局灶性自动症发作，其特征为起始时出现双侧或单侧足部或腿部的协调性运动。该运动的幅度更类似于正常运动，与涉及腿部的局灶性运动过度性发作相比，其运动较为缓和且不急促。
HP:0032902|Focal perseverative automatism seizure|局灶性持续性自动症发作|一种局灶性自动症发作类型，其特征为发作开始时持续进行发作前的运动或行为。
HP:0032903|Focal vocal automatism seizure|局灶性发声自动症发作|一种局灶性自动症发作，其特征为发作时产生单一或重复的无意义发声，如尖叫或咕哝声。
HP:0032904|Focal verbal automatism seizure|局灶性言语自动症发作|一种局灶性自动症发作类型，其特征为发作时出现单个或重复的单词、短语或简短句子。
HP:0032905|Focal sexual automatism seizure|局灶性性自动症发作|一种以发作时出现不自主性行为为特征的局灶性自动症癫痫发作。
HP:0032906|Focal head nodding automatism seizure|局灶性点头自动症发作|一种以发作时头部不自主点头为特征的局灶性自动症癫痫发作。
HP:0032907|Focal undressing automatism seizure|局灶性脱衣自动症发作|一种以发作时出现不自主脱衣为特征的局灶性自动症癫痫发作。
HP:0032908|Focal aware undressing automatism seizure|局灶性意识保留自动症发作|一种局灶性自动症发作类型，其特征为发作时出现无意识脱衣行为，且在整个发作过程中意识完全保留。
HP:0032909|Focal impaired awareness automatism seizure|局灶性意识障碍自动症发作|部分或完全意识受损的自动症局灶性发作。
HP:0032910|Focal aware automatism seizure|局灶性意识保留自动症发作|一种局灶性自动症发作，期间意识完全保留。
HP:0032911|Focal aware orofacial automatism seizure|局灶性意识清醒口面部自动症发作|一种局灶性自动症发作类型，其特征为发作时出现口面部自动症，且在整个发作过程中意识完全保留。
HP:0032912|Focal aware manual automatism seizure|局灶性意识保留性手动自动症发作|一种局灶性自动症发作类型，其特征为发作初期出现手部自动症，且在整个发作过程中意识完全保留。
HP:0032913|Focal aware pedal automatism seizure|局灶性意识保留性足部自动症发作|一种局灶性自动症发作类型，其特征为发作时出现协调的双侧或单侧足部或腿部运动，且在整个发作过程中意识完全保留。该运动的幅度更类似于正常运动，与涉及腿部的局灶性运动过多性发作相比，其运动较为缓和且不急促。
HP:0032914|Focal aware perseverative automatism seizure|局灶性意识保留持续性自动症发作|一种局灶性自动症发作类型，其特征为在发作起始时及发作期间不恰当地延续发作前的运动或行为，且在整个过程中意识完全保留。
HP:0032915|Focal aware vocal automatism seizure|局灶性意识保留性言语自动症发作|一种局灶性自动症发作类型，其特征为在发作起始时及发作过程中产生单一或重复的无意义发声，如尖叫或咕哝声，且在整个发作过程中意识完全保留。
HP:0032916|Focal aware verbal automatism seizure|局灶性意识保留性语言自动症发作|一种局灶性自动症发作类型，其特征为发作时出现单个或重复的单词、短语或简短句子，且在整个发作过程中意识完全保留。
HP:0032917|Focal aware sexual automatism seizure|局灶性意识保留性性自动症发作|一种局灶性自动症发作类型，其特征为发作时出现不自主性行为，且在整个发作过程中意识完全保留。
HP:0032918|Focal impaired awareness orofacial automatism seizure|局灶性意识受损口面部自动症发作|一种局灶性自动症发作类型，在发作过程中意识部分或完全受损，并以发作初期的口面部自动症为特征。
HP:0032919|Focal aware head nodding automatism seizure|局灶性意识保留性点头自动症发作|一种局灶性自动症发作，其特征为发作时出现不自主的点头动作，且在整个发作过程中意识完全保留。
HP:0032920|Focal impaired awareness manual automatism seizure|局灶性意识障碍性手动自动症发作|一种局灶性自动症发作，在发作过程中意识部分或完全受损，并以起始时的手部自动动作为特征。
HP:0032921|Focal impaired awareness pedal automatism seizure|局灶性意识障碍性足部自动症发作|一种局灶性自动症发作类型，在发作过程中意识部分或完全受损，其特征为发作开始时出现双侧或单侧足部或腿部的协调性运动。与涉及腿部的局灶性运动过度性发作相比，该运动的幅度更类似于正常运动，且较为缓慢或不那么剧烈。
HP:0032922|Focal impaired awareness perseverative automatism seizure|局灶性意识受损持续性自动症发作|一种局灶性自动症发作，在发作过程中意识部分或完全受损，其特征为发作开始时持续进行发作前的运动或行为，且这些行为不适当。
HP:0032923|Focal impaired awareness vocal automatism seizure|局灶性意识受损性发声自动症发作|一种局灶性自动症发作类型，在发作过程中意识部分或完全受损，其特征为发作时产生单一或重复的无意义发声，如尖叫或咕哝。
HP:0032924|Focal impaired awareness verbal automatism seizure|局灶性意识障碍性言语自动症发作|一种局灶性自动症发作，在发作过程中意识部分或完全受损，其特征为发作初期出现单个或重复的单词、短语或简短句子。
HP:0032925|Focal impaired awareness sexual automatism seizure|局灶性意识障碍性性自动症发作|一种局灶性自动症发作，在发作过程中意识部分或完全受损，并以发作时出现不自主性行为为特征。
HP:0032926|Focal impaired awareness head nodding automatism seizure|局灶性意识受损点头自动症发作|一种局灶性自动症，在发作期间意识部分或完全受损，其特征为发作初期出现不自主的点头动作。
HP:0032927|Focal impaired awareness undressing automatism seizure|局灶性意识受损性脱衣自动症发作|一种局灶性自动症，在发作期间意识部分或完全受损，其特征为发作初期出现不自主脱衣行为。
HP:0032928|Elevated CSF neurofilament light chain concentration|脑脊液神经丝轻链浓度升高|神经丝轻链（Neurofilament light chain, NfL）是一种神经元胞质蛋白，主要在大直径有髓轴突中高表达。其水平在脑脊液（cerebrospinal fluid, CSF）和血液中的升高与多种神经系统疾病中的轴突损伤程度呈正相关，这些疾病包括炎症性、神经退行性、创伤性及脑血管性疾病。
HP:0032929|Abnormal chondrocyte morphology|异常软骨细胞形态|软骨细胞（一种形成软骨的多形性细胞）的任何异常结构。
HP:0032930|Lacunar halos around chondrocytes|软骨细胞周围的陷窝晕|软骨细胞周围的同心环。
HP:0032931|obsolete Focal impaired awareness cognitive seizure with impaired attention|过时的局灶性意识受损性认知性癫痫发作伴注意力障碍|-
HP:0032932|Increased circulating pancreatic triacylglycerol lipase level|循环中胰腺三酰甘油脂肪酶水平升高|血液循环中三酰甘油脂肪酶水平升高（可在血清或血浆中测量）。
HP:0032933|Airway hyperresponsiveness|气道高反应性|气道对吸入性收缩激动剂的敏感性增加，剂量-反应曲线斜率更陡，以及对激动剂的最大反应增强。
HP:0032934|Spontaneous cerebrospinal fluid leak|自发性脑脊液漏|自发性脑脊液漏（Spontaneous Cerebrospinal Fluid Leak, SCSFL）是指脑脊液自发性且原因不明地从围绕大脑（颅漏）或脊柱（脊髓漏）的硬膜中渗漏。
HP:0032935|Posterior crocodile shagreen of the cornea|角膜后鳄鱼皮样变性|灰白色、多角形混浊图案，中央角膜区域间有透明区，类似鳄鱼皮样外观。
HP:0032936|Intrusion symptom|侵入性症状|创伤事件的无意再体验通常涉及源于创伤的感觉印象和情绪反应等症状。这些症状似乎缺乏时间视角和情境感。
HP:0032937|Recurrent, involuntary, and intrusive distressing memories|复发性、非自愿性、侵入性痛苦记忆|在经历心理创伤后，个体可能会反复遭遇事件的感觉-知觉印象，这些印象会不自主地侵入其意识。这些侵入性记忆通常表现为视觉图像（如心理画面），但也可能涉及声音、气味、味觉和身体感觉。它们伴随着与创伤记忆中最强烈时刻相关的各种负面情绪。
HP:0032938|Recurrent trauma-related distressing dreams|复发性创伤相关痛苦梦境|复发性痛苦梦境的发生与梦境内容及/或情感影响与一个或多个创伤性事件相关联。
HP:0032939|Physiological reactivity to cues|对线索的生理反应性|对内部或外部线索产生显著的生理反应，这些线索象征或类似于创伤事件的某个方面。
HP:0032940|Dissociation|解离|正常心理功能的某些方面的中断或脱离通常涉及与思想、情感、感觉、记忆或自我认同感或现实感的分离或断开。
HP:0032941|Intense psychological distress to cues|对线索的强烈心理困扰|当个体暴露于象征或类似于创伤事件某方面的内部或外部线索时，会出现强烈或持续的心理困扰。
HP:0032942|Avoidance of stimuli associated with traumatic event|避免与创伤事件相关的刺激|回避或努力回避与创伤事件相关的痛苦记忆、思维或情感。回避或努力回避外部提示物（如人物、地点、对话、活动、物体、情境），这些提示物可能唤起与创伤事件相关的痛苦记忆、思维或情感。
HP:0032943|Abnormal urine pH|尿液pH值异常|尿液pH值偏离正常范围（4.5至7.8）。
HP:0032944|Alkaline urine|碱性尿|尿液pH值≥8。
HP:0032945|Renal interstitial inflammation|肾间质炎症|肾间质炎症的组织病理学发现，可能涉及纤维化及非纤维化区域，主要由淋巴细胞、单核细胞和浆细胞组成。
HP:0032946|Renal cortical interstitial inflammation|肾皮质间质性炎症|肾间质炎症的组织病理学发现，涉及纤维化和非纤维化的肾皮质，由淋巴细胞、单核细胞和浆细胞组成。
HP:0032947|Renal medullary interstitial inflammation|肾髓质间质性炎症|肾髓质间质炎症的组织病理学发现，由淋巴细胞、单核细胞和浆细胞组成。
HP:0032948|Renal interstitial fibrosis|肾间质纤维化|肾间质中胶原蛋白及相关细胞外基质（ECM）分子的积聚。间质因三色染色呈蓝色的胶原蛋白存在而扩张。肾小管并非紧密排列，而是被纤维化分隔，并可能出现萎缩。
HP:0032949|Renal interstitial calcium phosphate deposits|肾间质磷酸钙沉积|间质中存在紫色细颗粒状/层状钙和磷酸盐沉积物。
HP:0032950|Abnormal renal tubular lumen morphology|肾小管管腔形态异常|肾小管管腔（开口）结构或形态异常。
HP:0032951|Renal tubular viral cytopathic changes|肾小管病毒性细胞病变|病毒性细胞病变特征包括模糊的嗜碱性核内包涵体，伴有感染细胞的核增大。远端肾小管比近端肾小管更常受累。伴随急性肾小管损伤，常伴有明显的肾小管坏死和破坏，以及急性间质性肾炎，通常由淋巴细胞、组织细胞、浆细胞和数量不等的中性粒细胞组成的多形性浸润，伴有间质水肿和出血。肾小管破坏可能与坏死性间质性肉芽肿相关。严重的肉芽肿性肾小管间质性肾炎似乎是腺病毒感染的特征，在其他病毒感染中极为罕见。肾实质中可能出现局灶性楔形坏死。腺病毒的免疫染色显示感染细胞的核和胞质呈强阳性染色。
HP:0032952|Usual-type tubular atrophy|常见型小管萎缩|一种肾小管萎缩类型，表现为小管基底膜增厚，内衬小立方或扁平细胞。通常伴随纤维化。
